"station_id","stationame","month_beginning","avg_weekday_rides","avg_saturday_rides","avg_sunday_holiday_rides","monthtotal"
"40010","Austin-Forest Park","2001-01-01T00:00:00.000","1480.80","661.5","394","37193"
"40180","Oak Park-Forest Park","2001-01-01T00:00:00.000","1384.10","397.5","210.2","33092"
"40980","Harlem-Forest Park","2001-01-01T00:00:00.000","785.7","377","233.4","19961"
"40390","Forest Park","2001-01-01T00:00:00.000","3516.40","1220.50","736.8","85926"
"41030","Polk","2001-01-01T00:00:00.000","2379.70","7.3","0","52383"
"40830","18th","2001-01-01T00:00:00.000","967.3","5","0","21301"
"40210","Damen-Cermak","2001-01-01T00:00:00.000","657.9","0.8","0","14477"
"40740","Western-Cermak","2001-01-01T00:00:00.000","523.9","1.3","0","11530"
"40440","California-Cermak","2001-01-01T00:00:00.000","779.7","1","0","17157"
"41040","Kedzie-Cermak","2001-01-01T00:00:00.000","444.9","0.3","0","9789"
"40780","Central Park","2001-01-01T00:00:00.000","453","2.3","0","9974"
"40150","Pulaski-Cermak","2001-01-01T00:00:00.000","459.3","2.3","0","10114"
"40600","Kostner","2001-01-01T00:00:00.000","303.2","0.5","0","6673"
"40420","Cicero-Cermak","2001-01-01T00:00:00.000","845.6","4.5","0","18621"
"40580","54th/Cermak","2001-01-01T00:00:00.000","1547.30","4","0","34057"
"40020","Harlem-Lake","2001-01-01T00:00:00.000","3269.70","1637","825.6","82609"
"41350","Oak Park-Lake","2001-01-01T00:00:00.000","1362.50","480.8","285.8","33326"
"40610","Ridgeland","2001-01-01T00:00:00.000","1247.20","369.3","184.2","29837"
"41260","Austin-Lake","2001-01-01T00:00:00.000","1972.50","927.8","513.2","49673"
"40280","Central-Lake","2001-01-01T00:00:00.000","2224.30","1295.50","786","58047"
"40700","Laramie","2001-01-01T00:00:00.000","1296.80","659.5","373.8","33036"
"40480","Cicero-Lake","2001-01-01T00:00:00.000","1291.30","712.8","463.2","33576"
"40030","Pulaski-Lake","2001-01-01T00:00:00.000","1509.80","884.3","561","39558"
"41070","Kedzie-Lake","2001-01-01T00:00:00.000","1168.90","626","404","30240"
"41360","California-Lake","2001-01-01T00:00:00.000","756.8","380.8","255.4","19449"
"40170","Ashland-Lake","2001-01-01T00:00:00.000","1408.40","538.5","330.2","34790"
"41160","Clinton-Lake","2001-01-01T00:00:00.000","1816","405.8","253","42841"
"41120","35-Bronzeville-IIT","2001-01-01T00:00:00.000","1743.80","912.5","576","44893"
"40300","Indiana","2001-01-01T00:00:00.000","568.8","317.5","224.8","14908"
"41270","43rd","2001-01-01T00:00:00.000","764.4","430","267","19871"
"41080","47th-South Elevated","2001-01-01T00:00:00.000","1242.10","789.3","468.4","32826"
"40130","51st","2001-01-01T00:00:00.000","1116.70","700","448.4","29609"
"40510","Garfield-South Elevated","2001-01-01T00:00:00.000","720.8","495","304.2","19359"
"41140","King Drive","2001-01-01T00:00:00.000","697.8","396","220.8","18039"
"40720","East 63rd-Cottage Grove","2001-01-01T00:00:00.000","1400","716.8","460.4","35969"
"40940","Halsted/63rd","2001-01-01T00:00:00.000","707.6","461.5","271.2","18770"
"40290","Ashland/63rd","2001-01-01T00:00:00.000","1774.40","927.3","648.6","45989"
"41290","Kimball","2001-01-01T00:00:00.000","4022.50","2128.80","1110.60","102564"
"41180","Kedzie-Brown","2001-01-01T00:00:00.000","1444.70","902.8","554.8","38169"
"40870","Francisco","2001-01-01T00:00:00.000","1085.50","459","235.4","26893"
"41010","Rockwell","2001-01-01T00:00:00.000","1267","512.8","295.8","31403"
"41480","Western-Brown","2001-01-01T00:00:00.000","3421.90","1631.50","902.8","86321"
"40090","Damen-Brown","2001-01-01T00:00:00.000","2083.40","1030.50","536.2","52637"
"41500","Montrose-Brown","2001-01-01T00:00:00.000","2016.10","910.8","489.6","50446"
"41460","Irving Park-Brown","2001-01-01T00:00:00.000","2315","932.5","471.8","57018"
"41440","Addison-Brown","2001-01-01T00:00:00.000","1794.90","637.8","291","43494"
"41310","Paulina","2001-01-01T00:00:00.000","2030.40","943.3","495.4","50919"
"40360","Southport","2001-01-01T00:00:00.000","2668.30","991","520","65267"
"41210","Wellington","2001-01-01T00:00:00.000","2539.90","759.8","378.8","60810"
"40530","Diversey","2001-01-01T00:00:00.000","4286","1883.50","867.2","106162"
"40660","Armitage","2001-01-01T00:00:00.000","3338","1060.50","484.8","80102"
"40800","Sedgwick","2001-01-01T00:00:00.000","2132.20","963.3","498.8","53255"
"40710","Chicago/Franklin","2001-01-01T00:00:00.000","4052.40","1354","550.8","97322"
"40460","Merchandise Mart","2001-01-01T00:00:00.000","6107.60","1022.30","347.6","140195"
"40930","Midway Airport","2001-01-01T00:00:00.000","7579.60","2506","1915.60","186353"
"40960","Pulaski-Orange","2001-01-01T00:00:00.000","5021.70","1257.80","605.6","118537"
"41150","Kedzie-Midway","2001-01-01T00:00:00.000","2907.80","1150","583.4","71488"
"40310","Western-Orange","2001-01-01T00:00:00.000","3216.80","1051.30","552.6","77738"
"40120","35th/Archer","2001-01-01T00:00:00.000","2034.30","640.8","343.4","49035"
"41060","Ashland-Orange","2001-01-01T00:00:00.000","1280","553.5","304","31895"
"41130","Halsted-Orange","2001-01-01T00:00:00.000","2385.10","679.3","357.4","56976"
"40730","Washington/Wells","2001-01-01T00:00:00.000","7217.20","718.3","303","163166"
"40040","Quincy/Wells","2001-01-01T00:00:00.000","7928.30","895.8","431","180161"
"40160","LaSalle/Van Buren","2001-01-01T00:00:00.000","3638.30","300","123.4","81860"
"40850","Library","2001-01-01T00:00:00.000","2391.60","701.8","248","56662"
"40680","Adams/Wabash","2001-01-01T00:00:00.000","6918.80","2206","978.2","165928"
"40640","Madison/Wabash","2001-01-01T00:00:00.000","3693.40","1200","388","87994"
"40200","Randolph/Wabash","2001-01-01T00:00:00.000","5544.60","1913","896.4","134115"
"40260","State/Lake","2001-01-01T00:00:00.000","8352.50","3808.50","2390.80","210942"
"40380","Clark/Lake","2001-01-01T00:00:00.000","15174.90","2356.30","1363.40","350089"
"40900","Howard","2001-02-01T00:00:00.000","6389.50","3761","2534.30","152971"
"41190","Jarvis","2001-02-01T00:00:00.000","1510.50","1079.30","756.5","37553"
"40100","Morse","2001-02-01T00:00:00.000","4478.10","2999.80","2155.80","110184"
"41300","Loyola","2001-02-01T00:00:00.000","5010","3339.80","2143","122130"
"40760","Granville","2001-02-01T00:00:00.000","3288.70","2210.30","1601.80","81022"
"40880","Thorndale","2001-02-01T00:00:00.000","3099.10","1866","1343.80","74821"
"41380","Bryn Mawr","2001-02-01T00:00:00.000","4547.20","2706.80","1997.80","109762"
"40340","Berwyn","2001-02-01T00:00:00.000","3420.10","2073.80","1564.30","82954"
"41200","Argyle","2001-02-01T00:00:00.000","2775","1764.30","1311","67801"
"40770","Lawrence","2001-02-01T00:00:00.000","2742.40","1864","1386.30","67848"
"40540","Wilson","2001-02-01T00:00:00.000","5368.70","3341.30","2085","129078"
"40080","Sheridan","2001-02-01T00:00:00.000","4518","2572.30","1784.80","107787"
"41420","Addison-North Main","2001-02-01T00:00:00.000","4992.70","2905.50","1965","119335"
"41320","Belmont-North Main","2001-02-01T00:00:00.000","9317.70","6584.50","4737.80","231643"
"41220","Fullerton","2001-02-01T00:00:00.000","10417.90","5102","3505.30","242787"
"40650","North/Clybourn","2001-02-01T00:00:00.000","3576.60","2561","1915.80","89439"
"40630","Clark/Division","2001-02-01T00:00:00.000","6703.90","4672.80","3485.80","166712"
"41450","Chicago/State","2001-02-01T00:00:00.000","12516.10","8718.30","6122.50","309684"
"40330","Grand/State","2001-02-01T00:00:00.000","8246.90","5431","3910.80","202304"
"41660","Lake/State","2001-02-01T00:00:00.000","13598.50","5792.30","3971","311022"
"40500","Washington/State","2001-02-01T00:00:00.000","6979.90","2758","1540","156790"
"41090","Monroe/State","2001-02-01T00:00:00.000","7399","2665","1488.50","164594"
"40560","Jackson/State","2001-02-01T00:00:00.000","11756","3877.30","2125.80","259132"
"41490","Harrison","2001-02-01T00:00:00.000","2645.30","1287","775.8","61156"
"41400","Roosevelt","2001-02-01T00:00:00.000","5766.30","3365.80","2268.30","137861"
"41000","Cermak-Chinatown","2001-02-01T00:00:00.000","2553.90","2574","2002","69382"
"40190","Sox-35th-Dan Ryan","2001-02-01T00:00:00.000","3588.60","2165","1604.80","86850"
"41230","47th-Dan Ryan","2001-02-01T00:00:00.000","2400.70","1603.30","1197.30","59216"
"41170","Garfield-Dan Ryan","2001-02-01T00:00:00.000","4587.70","3002.80","2019.30","111842"
"40910","63rd-Dan Ryan","2001-02-01T00:00:00.000","3586.30","2416.50","1950.50","89194"
"40990","69th","2001-02-01T00:00:00.000","6869.50","4392.80","2994","166937"
"40240","79th","2001-02-01T00:00:00.000","7489.30","4700","3330.30","181907"
"41430","87th","2001-02-01T00:00:00.000","5454.70","3301.50","2206.30","131125"
"40450","95th/Dan Ryan","2001-02-01T00:00:00.000","14445.60","7166.50","5282.80","338708"
"41050","Linden","2001-02-01T00:00:00.000","1095.90","411.8","252.3","24573"
"41250","Central-Evanston","2001-02-01T00:00:00.000","955.2","501.3","269.3","22185"
"40400","Noyes","2001-02-01T00:00:00.000","593.2","431","215.3","14449"
"40520","Foster","2001-02-01T00:00:00.000","708.9","387.5","240.3","16688"
"40050","Davis","2001-02-01T00:00:00.000","3528.90","2515.30","1442.80","86409"
"40690","Dempster","2001-02-01T00:00:00.000","673.7","415.8","278.3","16249"
"40270","Main","2001-02-01T00:00:00.000","1213.80","655.3","377.8","28407"
"40840","South Boulevard","2001-02-01T00:00:00.000","841.8","383.3","233","19300"
"40140","Skokie","2001-02-01T00:00:00.000","2545.50","0","0","50909"
"40890","O'Hare Airport","2001-02-01T00:00:00.000","7844.50","5748.30","6120.80","204366"
"40820","Rosemont","2001-02-01T00:00:00.000","5236.20","1996.30","1327.80","118020"
"40230","Cumberland","2001-02-01T00:00:00.000","4760.30","1561.50","1084.80","105790"
"40750","Harlem-O'Hare","2001-02-01T00:00:00.000","2706.40","1011.50","650.3","60775"
"41280","Jefferson Park","2001-02-01T00:00:00.000","6661.40","2645.80","1872","151298"
"41330","Montrose-O'Hare","2001-02-01T00:00:00.000","1958.60","690","489.3","43889"
"40550","Irving Park-O'Hare","2001-02-01T00:00:00.000","3661","1587.30","1130.50","84091"
"41240","Addison-O'Hare","2001-02-01T00:00:00.000","2487.20","800.8","543.5","55121"
"40060","Belmont-O'Hare","2001-02-01T00:00:00.000","4606.10","2231.30","1586.50","107392"
"41020","Logan Square","2001-02-01T00:00:00.000","4636","2252","1496","107712"
"40570","California/Milwaukee","2001-02-01T00:00:00.000","2912.70","1374","865.3","67211"
"40670","Western/Milwaukee","2001-02-01T00:00:00.000","2844.20","1254.30","773.5","64994"
"40590","Damen/Milwaukee","2001-02-01T00:00:00.000","4170.40","1789.50","1266","95630"
"40320","Division/Milwaukee","2001-02-01T00:00:00.000","4484.40","1940.30","1324","102745"
"41410","Chicago/Milwaukee","2001-02-01T00:00:00.000","2204.90","703.5","423.5","48606"
"40490","Grand/Milwaukee","2001-02-01T00:00:00.000","1152.50","479.5","292.5","26138"
"40370","Washington/Dearborn","2001-02-01T00:00:00.000","8890.60","2275.50","1379","192430"
"40790","Monroe/Dearborn","2001-02-01T00:00:00.000","5945.80","1102.30","652.3","125934"
"40070","Jackson/Dearborn","2001-02-01T00:00:00.000","7392.20","1903.50","1041.30","159623"
"41340","LaSalle","2001-02-01T00:00:00.000","2208.60","354.3","191.5","46354"
"40430","Clinton-Forest Park","2001-02-01T00:00:00.000","2278.20","744.5","648.5","51136"
"40350","UIC-Halsted","2001-02-01T00:00:00.000","4405.30","963","598.8","94352"
"40470","Racine","2001-02-01T00:00:00.000","2242.70","768.5","425","49627"
"40810","Medical Center","2001-02-01T00:00:00.000","1969.90","987.5","613","45799"
"40220","Western-Forest Park","2001-02-01T00:00:00.000","991.9","635.3","422.3","24067"
"40250","Kedzie-Homan-Forest Park","2001-02-01T00:00:00.000","1297.60","853.8","564","31622"
"40920","Pulaski-Forest Park","2001-02-01T00:00:00.000","1215.20","797","611.3","29937"
"40970","Cicero-Forest Park","2001-02-01T00:00:00.000","1044.30","692","493.5","25627"
"40010","Austin-Forest Park","2001-02-01T00:00:00.000","1527.80","639.5","400.3","34714"
"40180","Oak Park-Forest Park","2001-02-01T00:00:00.000","1394.10","392.3","233.3","30384"
"40980","Harlem-Forest Park","2001-02-01T00:00:00.000","802.3","390.3","276.3","18711"
"40390","Forest Park","2001-02-01T00:00:00.000","3568.10","1183.50","771.3","79180"
"41030","Polk","2001-02-01T00:00:00.000","2298.30","4","0.5","45983"
"40830","18th","2001-02-01T00:00:00.000","997.6","0.8","0","19955"
"40210","Damen-Cermak","2001-02-01T00:00:00.000","671","0.3","0","13421"
"40740","Western-Cermak","2001-02-01T00:00:00.000","548.7","3","0","10986"
"40440","California-Cermak","2001-02-01T00:00:00.000","797.7","0.5","0","15955"
"41040","Kedzie-Cermak","2001-02-01T00:00:00.000","441.3","1.8","0","8833"
"40780","Central Park","2001-02-01T00:00:00.000","455.9","2","0","9126"
"40150","Pulaski-Cermak","2001-02-01T00:00:00.000","473.9","1.5","0","9484"
"40600","Kostner","2001-02-01T00:00:00.000","314.3","0.3","0","6286"
"40420","Cicero-Cermak","2001-02-01T00:00:00.000","883","3.5","0","17673"
"40580","54th/Cermak","2001-02-01T00:00:00.000","1587.40","7","0","31776"
"40020","Harlem-Lake","2001-02-01T00:00:00.000","3288.30","1563.50","926.3","75724"
"41350","Oak Park-Lake","2001-02-01T00:00:00.000","1382","499","331.8","30962"
"40610","Ridgeland","2001-02-01T00:00:00.000","1282.20","368.3","206.3","27942"
"41260","Austin-Lake","2001-02-01T00:00:00.000","1902.50","877.5","533.8","43695"
"40280","Central-Lake","2001-02-01T00:00:00.000","2372.60","1238.50","848.3","55799"
"40700","Laramie","2001-02-01T00:00:00.000","1335.80","631.8","403.5","30856"
"40480","Cicero-Lake","2001-02-01T00:00:00.000","1322.90","679","452.8","30985"
"40030","Pulaski-Lake","2001-02-01T00:00:00.000","1530.60","876.5","618.3","36591"
"41070","Kedzie-Lake","2001-02-01T00:00:00.000","1225.50","610.8","433","28685"
"41360","California-Lake","2001-02-01T00:00:00.000","792.9","375.5","284.3","18497"
"40170","Ashland-Lake","2001-02-01T00:00:00.000","1458","547","360.8","32791"
"41160","Clinton-Lake","2001-02-01T00:00:00.000","1810.20","405.3","244.8","38803"
"41120","35-Bronzeville-IIT","2001-02-01T00:00:00.000","1928.20","1015","689.5","45382"
"40300","Indiana","2001-02-01T00:00:00.000","595.8","343.8","237","14239"
"41270","43rd","2001-02-01T00:00:00.000","797.5","449.3","296.5","18933"
"41080","47th-South Elevated","2001-02-01T00:00:00.000","1293.50","818.3","519","31218"
"40130","51st","2001-02-01T00:00:00.000","1144.30","728.8","483.3","27733"
"40510","Garfield-South Elevated","2001-02-01T00:00:00.000","743.4","487.3","321.3","18102"
